,Unnamed: 0,Unnamed: 0.1,FeatureName,FeatureID,teamID,ReviewID,asin,title,Sentence,CS_SS,p/n
0,2560,2560,compression,20,1,7555720,B00EP7154E,canon digital camera powershot a3500,the camera does not do raw processing but you would need only if you did not want to be limited by jpeg type storage.,CS,N
1,641,641,compression,20,12,1428284,B000V5P90K,canon eos 40d ,i have never regretted shooting jpeg only except when i get hate mail from raw shoots cursing my life.,CS,N
2,639,639,compression,20,12,1428284,B000V5P90K,canon eos 40d ,fun fact i have never once in my life shot a raw file (ok once i shot raw plus jpeg but i never once touched the raw files) maybe its because i shot film for years and do everything in the camera.,SS,P
3,640,640,compression,20,12,1428284,B000V5P90K,canon eos 40d ,raw files are bo better then jpegs as long as you know how to adjust your camera everything you can do with raw you can do in camera.,SS,P
4,17,17,compression,20,13,2031910,B001G5ZTLS,canon eos 5d,"the second limitation is that the movies are ""finished"" in the same way that jpegs are finished, which is to say that there's no movie raw mode.",CS,N
5,645,645,compression,20,12,2031708,B001G5ZTLS,canon eos 5d,"with wide-aperture lenses, you'll be dead-on with manual focus every time.in terms of post-processing flexibility, canon eos video is like shooting jpeg, but worse because the h.264 video codec throws away even more unseen data.",CS,P
6,646,646,compression,20,12,2031708,B001G5ZTLS,canon eos 5d,your call whether that's worth five times the price.settings:some settings only affect jpeg images.,CS,P
7,647,647,compression,20,12,2031751,B001G5ZTLS,canon eos 5d,"high resolution, simple menu, light, user friendly; shoot jpeg or raw with better lenses and you can print big.",CS,P
8,1222,1222,compression,20,12,5820537,B007NZ7RTM,canon eos 5d ,"the jpeg output is very amazing, sharp and vivid.",SS,P
9,1173,1173,compression,20,12,5730182,B007FGYZFI,canon eos 5d ,")the menu settings were daunting at first, but these are the ones i use.shoot i:image quality jpeg limage review: 2 secs.beep: enablerelease shutter without card: offlens aberration correction: enabled.",CS,N
10,1185,1185,compression,20,12,5730325,B007FGYZFI,canon eos 5d ,"for a $3500 camera, it produces mushy jpegs, even at base iso.",SS,N
11,1188,1188,compression,20,12,5730359,B007FGYZFI,canon eos 5d ,this camera will make a smeary mess of your jpeg images if you leave them on.,SS,N
12,1633,1633,compression,20,11,5730213,B007FGYZFI,canon eos 5d ,(sidebar: i don't bother with jpeg's anymore.,SS,N
13,1635,1635,compression,20,11,5730213,B007FGYZFI,canon eos 5d ,"using raw has let me resolve many color balance problems (mixed light sources) and has allowed me to bring back detail in shadows and highlights that would have been lost in jpegs.the self-cleaning sensor has yet to miss a spec of dust, which is saying a lot, since i'm continually having to clean the sensor on my 5dii and my 20d's (yes, i still use them from time to time.",SS,N
14,1171,1171,compression,20,12,5730182,B007FGYZFI,canon eos 5d ,the improved af is the reason i chose it over the 5d mark ii.no significant noise even in minimal light and easily correctable in lightroom.silent mode is fantastic.feels substantially more rugged than my 50d.i shoot mainly jpeg unless traveling or special events.,CS,P
15,1172,1172,compression,20,12,5730182,B007FGYZFI,canon eos 5d ,this camera produces great jpegs.,SS,P
16,1174,1174,compression,20,12,5730186,B007FGYZFI,canon eos 5d ,jpegs are great so anyone can use it out of the box.,SS,P
17,1182,1182,compression,20,12,5730294,B007FGYZFI,canon eos 5d ,another feature that didn't make it into this camera that has all the cinematographers grumbling is there is no clean hdmi output which would allow the uncompressed video footage to be captured on an external recorder.,CS,P
18,1184,1184,compression,20,12,5730294,B007FGYZFI,canon eos 5d ,"strangely though, only auto iso is available in av, tv, and p. there are more shooting modes: 1080p at 24, 25, or 30 fps and 720p mode now does 50 or 60 fps, with two compression options,including an i-frame only compression for better quality suitable for grading.a whole wave of enthusiasts use the magic lantern firmware patch that allows cinematographers to gain access to enhanced functionality like manual audio, zebras, focus assist tools, and more.",CS,P
19,1186,1186,compression,20,12,5730355,B007FGYZFI,canon eos 5d ,"the jpeg output is very amazing, sharp and vivid.",SS,P
20,1187,1187,compression,20,12,5730359,B007FGYZFI,canon eos 5d ,it really is impressive.the jpeg's that this camera produces are beautiful if you don't shoot raw.,SS,P
21,1189,1189,compression,20,12,5730359,B007FGYZFI,canon eos 5d ,i have no problem with amazing detail and clarity with the jpeg's with them turned off.the build of the camera is really good.,SS,P
22,1191,1191,compression,20,12,5730382,B007FGYZFI,canon eos 5d ,the jpeg engine in this camera is staggeringly good and a solid 2 stops better at controlling noise at high iso than the 5dii.,SS,P
23,1192,1192,compression,20,12,5730382,B007FGYZFI,canon eos 5d ,"note though that default nr in jpeg mode is fairly strong and that you will generally attain a better ""look"" from your files with the ""low"" nr setting.as an aside, the nasty cross-hatch banding present in the deep shadows of 5dii files is now gone with the mark iii.",CS,P
24,1194,1194,compression,20,12,5730401,B007FGYZFI,canon eos 5d ,"taking this sports events at malaysia, (with 200l ii 2.8 lens, using 60mb/s cf card, jpeg large fine)this 5dm3 keeps 6fps as promised bursting continously for 20 seconds.",SS,P
25,1195,1195,compression,20,12,5730401,B007FGYZFI,canon eos 5d ,"highly satisfied.also bring a 650d, this one slows down to 2fps after 3-5 seconds using jpeg large fine.",CS,P
26,1197,1197,compression,20,12,5730440,B007FGYZFI,canon eos 5d ,i actually still don't now but what i do know is that the all-i mode is supposed to offer easier editing due to it's less compressed nature whereas the ipb mode actually compresses the image and allow that 16gb card that i mentioned earlier to store more footage.,CS,P
27,1198,1198,compression,20,12,5730495,B007FGYZFI,canon eos 5d ,the 5d iii uses a very advanced codec that compresses the files so they take up almost nearly no space on your flash drives.,SS,P
28,1199,1199,compression,20,12,5730524,B007FGYZFI,canon eos 5d ,"i know most people dont shoot jpeg but if you ever want some painless shots of your kids or family and dont want to mess around with too much post processing, this camera produces the finest jpegs you will find in a camera.",CS,P
29,1202,1202,compression,20,12,5730526,B007FGYZFI,canon eos 5d ,"* the mark iii supports in-camera image stacking, which can be used for a variety of creative and scientific effects -- i haven't played with this yet, but this may be very useful for me.sd card* having a second slot, with the second one being sd is a very nice addition, you can now put an eye-fi in your second slot, save jpeg to the eye-fi, have photos show up on your ipad in realtime, and have the raw's saved to a cf card.",CS,P
30,1204,1204,compression,20,12,5730562,B007FGYZFI,canon eos 5d ,i'll have to wait until my friend receives his to find out.jpeg:easy winner.,SS,P
31,1205,1205,compression,20,12,5730562,B007FGYZFI,canon eos 5d ,"out of the camera, the canon jpegs are phenomenal.",SS,P
32,1206,1206,compression,20,12,5730562,B007FGYZFI,canon eos 5d ,"i didn't test nikon's uncompressed hdmi out, although it seems to be a useful feature (this is like raw hdmi output for video).",CS,P
33,1207,1207,compression,20,12,5730562,B007FGYZFI,canon eos 5d ,canon should adopt uncompressed hdmi out also.price:easy winner.,SS,P
34,1208,1208,compression,20,12,5730577,B007FGYZFI,canon eos 5d ,"having owned the legendary canon 5d mark ii for more than 3.5 years, i finally decided to upgrade to this camera knowing the pros and cons discussed extensively on the web.before i bought the camera, i actually got the chance to play with it as my friend had purchased one several months ago.i did some serious test, particularly on focusing, which i have a lot of complaint on the 5d2.here are some subjective assessments:1) low light focusing seems to have improved greatly on my 50 f/1.2 l, particularly on the side focal points.2) high iso performance out of jpeg is ""mind-blowing""--- although the raw photos improved only by 1/2 step;  picture quality does not really improve that much at low isos except that the high iso images look stunning.3) the settings took some time to get adjusted to.",CS,P
35,1632,1632,compression,20,11,5730200,B007FGYZFI,canon eos 5d ,"though there may be some advantages to shooting raw, my preference is jpeg for simple photo sharing and editing, and jpeg photos work great.love the sound of the shutter, and love the fact that you can easily switch it to silent mode shooting.",SS,P
